lband,uband,center,P1,P2,P3,R,RMSE
5.0,10.0,7.5,-7228141.28,4348443650.0,-163154083000.0,0.96,24983315700.0
10.0,15.0,12.5,-172793713.0,106538527000.0,-2836959530000.0,0.96,638391466000.0
15.0,20.0,17.5,-1798731110.0,1057162810000.0,-27433723000000.0,0.96,6094849060000.0
20.0,25.0,22.5,-1670143020.0,988384185000.0,-39016046600000.0,0.96,5650316540000.0
25.0,30.0,27.5,-849047253.0,439836923000.0,-10776719200000.0,0.96,2375645490000.0
30.0,35.0,32.5,-578821182.0,409300016000.0,-7392777580000.0,0.93,3678609580000.0
35.0,40.0,37.5,-527393084.0,260815376000.0,-4819636790000.0,0.94,1614684900000.0
40.0,45.0,42.5,-176485806.0,94360241700.0,1207460260000.0,0.95,578446944000.0
45.0,50.0,47.5,-328417068.0,154464379000.0,270338559000.0,0.96,765976697000.0
50.0,55.0,52.5,-435029980.0,194267789000.0,-912633707000.0,0.96,917807984000.0
55.0,60.0,57.5,-111331394.0,49194389600.0,2594808080000.0,0.94,286378660000.0
60.0,65.0,62.5,-318739604.0,131380748000.0,7102885620000.0,0.9,893006924000.0
65.0,70.0,67.5,-154464890.0,65794285400.0,3903352300000.0,0.93,382370215000.0
70.0,75.0,72.5,-117284653.0,51641592200.0,2620084240000.0,0.94,282746960000.0
75.0,80.0,77.5,-109163517.0,46357851800.0,4912382470000.0,0.89,339676578000.0
80.0,85.0,82.5,-571385988.0,265288858000.0,19329597800000.0,0.94,1624785810000.0
85.0,90.0,87.5,-1267162630.0,653242857000.0,27792743100000.0,0.94,4188398760000.0
90.0,95.0,92.5,-1145038620.0,587977430000.0,25022190300000.0,0.95,3622009880000.0
95.0,100.0,97.5,-384402107.0,197008185000.0,12637047500000.0,0.95,1143444910000.0
100.0,105.0,102.5,-416550795.0,204940624000.0,5828272460000.0,0.96,1076973920000.0
