lambda,P1,P2,P3,R,RMSE
1.5,-4.94024181e-09,3.22175699e-06,-1.80553335e-04,0.93,2.67305197e-05
2.5,-1.51234762e-09,8.72873177e-07,-3.59300652e-05,0.96,4.64649582e-06
3.5,-8.19051896e-10,4.76131943e-07,-1.75069528e-05,0.96,2.57208191e-06
4.5,-1.25299002e-09,7.18966612e-07,-2.30913459e-05,0.96,3.78321360e-06
5.5,-1.05306909e-09,6.00386365e-07,-1.72945105e-05,0.96,3.13381799e-06
6.5,-1.24449248e-09,7.07626722e-07,-2.22302072e-05,0.96,3.69094684e-06
7.5,-2.59694610e-09,1.45374662e-06,-6.31698909e-05,0.96,7.43469515e-06
8.5,-2.16866639e-09,1.21455389e-06,-4.6505577e-05,0.96,6.21501074e-06
9.5,-1.52361462e-09,8.68533191e-07,-3.0246892e-05,0.96,4.53196359e-06
10.5,-1.01521500e-09,5.78430109e-07,-1.79161041e-05,0.96,3.02874105e-06
11.5,-5.92986152e-10,3.39846459e-07,-7.46323908e-06,0.96,1.86757596e-06
12.5,-3.91620799e-10,2.22633150e-07,-6.85281881e-06,0.96,1.16787269e-06
13.5,-3.68662392e-10,2.14384736e-07,-5.53046688e-06,0.96,1.20433914e-06
14.5,-8.15473279e-10,4.56904530e-07,-1.28641555e-05,0.96,2.34443139e-06
15.5,-1.05314223e-09,5.90337830e-07,-2.51992115e-05,0.96,3.02143819e-06
16.5,-1.71833912e-09,9.58528730e-07,-2.37694140e-05,0.96,4.91384954e-06
17.5,-7.84248508e-09,4.35156360e-06,-6.77832612e-05,0.96,2.24071577e-05
18.5,-5.35989584e-09,2.98171616e-06,-7.78638812e-05,0.96,1.53019138e-05
19.5,-5.64009182e-09,3.15119971e-06,-1.24435988e-04,0.96,1.61351843e-05
20.5,-4.90601610e-09,2.74377445e-06,-1.31174042e-04,0.96,1.40380060e-05
21.5,-4.26086127e-09,2.38514084e-06,-1.14409417e-04,0.96,1.22091037e-05
